,Date,Value_interest,Value_inflation,Value_gdp,Value_unemployment,Value_cci,Open_sp500,High_sp500,Low_sp500,Close_sp500,Volume_sp500,Open_nasdaq,High_nasdaq,Low_nasdaq,Close_nasdaq,Volume_nasdaq,Open_dow_jones,High_dow_jones,Low_dow_jones,Close_dow_jones,Volume_dow_jones,Open_tech_sector,High_tech_sector,Low_tech_sector,Close_tech_sector,Volume_tech_sector
14,1999-01-21,4.7,164.7,9411.682,4.3,103.9,1256.6199951171875,1256.93994140625,1232.18994140625,1235.1600341796875,871800000.0,2403.52001953125,2403.52001953125,2335.75,2344.719970703125,1083860000.0,9335.91015625,9377.3603515625,9228.5498046875,9264.080078125,98340000.0,36.25,36.3125,35.125,35.375,1492900.0
15,1999-01-22,4.64,164.7,9411.682,4.3,103.9,1235.1600341796875,1236.4100341796875,1217.969970703125,1225.18994140625,785900000.0,2309.340087890625,2365.110107421875,2303.820068359375,2338.8798828125,1014740000.0,9264.080078125,9264.58984375,9088.490234375,9120.669921875,93640000.0,34.75,35.40625,34.390625,34.75,1291000.0
16,1999-01-25,4.67,164.7,9411.682,4.3,103.9,1225.18994140625,1233.97998046875,1219.4599609375,1233.97998046875,723900000.0,2363.47998046875,2369.68994140625,2328.739990234375,2369.31005859375,870960000.0,9120.669921875,9203.830078125,9063.259765625,9203.3203125,89250000.0,35.1875,35.375,34.59375,35.359375,946600.0
17,1999-01-26,4.69,164.7,9411.682,4.3,103.9,1233.97998046875,1253.25,1233.97998046875,1252.31005859375,896400000.0,2388.969970703125,2434.3701171875,2384.6298828125,2433.409912109375,1030160000.0,9203.3203125,9329.990234375,9188.3798828125,9324.580078125,90780000.0,35.75,36.8125,35.75,36.78125,713900.0
18,1999-01-27,4.68,164.7,9411.682,4.3,103.9,1252.31005859375,1262.6099853515625,1242.8199462890625,1243.1700439453125,893800000.0,2455.25,2464.1201171875,2406.780029296875,2407.139892578125,1034480000.0,9325.3603515625,9385.8603515625,9195.33984375,9200.23046875,88800000.0,37.25,37.484375,36.0,36.0,1366900.0
19,1999-01-28,4.67,164.7,9411.682,4.3,103.9,1243.1700439453125,1266.4000244140625,1243.1700439453125,1265.3699951171875,848800000.0,2442.52001953125,2477.469970703125,2407.139892578125,2477.340087890625,1013890000.0,9203.5703125,9301.150390625,9203.5703125,9281.330078125,80490000.0,36.75,37.28125,36.609375,37.265625,903600.0
20,1999-01-29,4.66,164.7,9411.682,4.3,103.9,1265.3699951171875,1280.3699951171875,1255.1800537109375,1279.6400146484375,917000000.0,2486.280029296875,2506.679931640625,2454.7099609375,2505.889892578125,1057120000.0,9281.58984375,9383.2802734375,9224.169921875,9358.830078125,86050000.0,37.375,37.84375,36.9375,37.8125,933600.0
21,1999-02-01,4.75,164.7,9411.682,4.4,108.1,1279.6400146484375,1283.75,1271.31005859375,1273.0,799400000.0,2522.3798828125,2533.43994140625,2500.35009765625,2510.090087890625,957110000.0,9359.599609375,9430.66015625,9341.580078125,9345.7001953125,77790000.0,38.15625,38.375,37.5625,37.84375,913000.0
22,1999-02-02,4.79,164.7,9411.682,4.4,108.1,1273.0,1273.489990234375,1247.56005859375,1261.989990234375,845500000.0,2512.1201171875,2512.1201171875,2442.929931640625,2463.419921875,963710000.0,9342.6103515625,9344.919921875,9198.169921875,9274.1201171875,82520000.0,38.0,38.0,36.625,37.203125,1259200.0
23,1999-02-03,4.83,164.7,9411.682,4.4,108.1,1261.989990234375,1276.0400390625,1255.27001953125,1272.0699462890625,876500000.0,2453.22998046875,2493.580078125,2448.550048828125,2493.409912109375,1057010000.0,9272.580078125,9398.2197265625,9239.6201171875,9366.8095703125,89760000.0,37.0625,38.0625,36.8125,37.46875,1334100.0
24,1999-02-04,4.89,164.7,9411.682,4.4,108.1,1272.0699462890625,1272.22998046875,1248.3599853515625,1248.489990234375,854400000.0,2496.489990234375,2496.52001953125,2409.989990234375,2410.070068359375,1099190000.0,9365.150390625,9397.9599609375,9274.8896484375,9304.5,88340000.0,37.75,37.75,35.875,36.1875,1945900.0
25,1999-02-05,4.94,164.7,9411.682,4.4,108.1,1248.489990234375,1251.8599853515625,1232.280029296875,1239.4000244140625,872000000.0,2419.929931640625,2421.429931640625,2346.820068359375,2373.6201171875,1013740000.0,9305.01953125,9347.240234375,9247.33984375,9304.240234375,88360000.0,36.0,36.21875,34.75,35.3125,1832400.0
26,1999-02-08,4.94,164.7,9411.682,4.4,108.1,1239.4000244140625,1246.9300537109375,1231.97998046875,1243.77001953125,705400000.0,2405.31005859375,2414.97998046875,2358.050048828125,2404.919921875,881780000.0,9301.58984375,9334.8798828125,9209.240234375,9291.1103515625,72880000.0,35.75,36.5,35.125,35.90625,1314600.0
27,1999-02-09,4.91,164.7,9411.682,4.4,108.1,1243.77001953125,1243.969970703125,1215.6300048828125,1216.1400146484375,736000000.0,2403.949951171875,2403.949951171875,2310.639892578125,2310.7900390625,909780000.0,9291.1103515625,9305.01953125,9123.25,9133.0302734375,73550000.0,36.0,36.03125,34.3125,34.5,2085500.0
28,1999-02-10,4.9,164.7,9411.682,4.4,108.1,1216.1400146484375,1226.780029296875,1211.8900146484375,1223.550048828125,721400000.0,2304.25,2338.14990234375,2289.89990234375,2309.5,915620000.0,9133.91015625,9183.490234375,9099.0400390625,9177.3095703125,86030000.0,34.65625,35.40625,34.25,34.75,1401800.0
29,1999-02-11,4.93,164.7,9411.682,4.4,108.1,1223.550048828125,1254.050048828125,1223.18994140625,1254.0400390625,815800000.0,2339.02001953125,2405.760009765625,2326.18994140625,2405.550048828125,961760000.0,9175.0498046875,9363.4599609375,9143.330078125,9363.4599609375,87430000.0,35.375,36.28125,35.03125,36.21875,2666700.0
30,1999-02-12,5.06,164.7,9411.682,4.4,108.1,1254.0400390625,1254.0400390625,1225.530029296875,1230.1300048828125,691500000.0,2375.989990234375,2379.0,2319.739990234375,2321.889892578125,837560000.0,9367.3203125,9389.98046875,9228.0302734375,9274.8896484375,78430000.0,35.375,35.78125,34.59375,34.78125,2917400.0
32,1999-02-16,5.03,164.7,9411.682,4.4,108.1,1230.1300048828125,1252.1700439453125,1230.1300048828125,1241.8699951171875,653760000.0,2361.219970703125,2368.409912109375,2300.52001953125,2313.8701171875,819240000.0,9277.3095703125,9387.66015625,9234.73046875,9297.0302734375,76970000.0,35.75,35.8125,34.5,34.625,1726400.0
33,1999-02-17,4.98,164.7,9411.682,4.4,108.1,1241.8699951171875,1249.31005859375,1220.9200439453125,1224.030029296875,735100000.0,2277.580078125,2304.719970703125,2242.27001953125,2248.909912109375,902780000.0,9289.7802734375,9365.5400390625,9179.2099609375,9195.4697265625,83350000.0,33.75,34.96875,33.5625,33.84375,2783500.0
34,1999-02-18,5.04,164.7,9411.682,4.4,108.1,1224.030029296875,1239.1300048828125,1220.699951171875,1237.280029296875,742400000.0,2269.030029296875,2273.080078125,2224.2099609375,2260.550048828125,859910000.0,9201.8701171875,9308.759765625,9190.9404296875,9298.6298828125,75070000.0,34.3125,34.40625,33.34375,34.03125,2075600.0
35,1999-02-19,5.07,164.7,9411.682,4.4,108.1,1237.280029296875,1247.9100341796875,1232.030029296875,1239.219970703125,700000000.0,2276.610107421875,2291.409912109375,2260.550048828125,2283.60009765625,813480000.0,9299.169921875,9395.669921875,9267.7099609375,9339.9501953125,73110000.0,34.625,34.875,34.15625,34.34375,1673600.0
36,1999-02-22,5.03,164.7,9411.682,4.4,108.1,1239.219970703125,1272.219970703125,1239.219970703125,1272.1400146484375,718500000.0,2293.330078125,2342.409912109375,2275.60009765625,2342.010009765625,843510000.0,9339.9501953125,9558.2802734375,9331.16015625,9552.6796875,81950000.0,34.59375,35.65625,34.34375,35.5625,2368000.0
37,1999-02-23,5.1,164.7,9411.682,4.4,108.1,1272.1400146484375,1280.3800048828125,1263.3599853515625,1271.1800537109375,781100000.0,2360.679931640625,2386.47998046875,2342.010009765625,2376.35009765625,912110000.0,9553.48046875,9611.330078125,9473.240234375,9544.419921875,84810000.0,36.0,36.46875,35.5625,36.03125,2065500.0
38,1999-02-24,5.18,164.7,9411.682,4.4,108.1,1271.1800537109375,1283.8399658203125,1251.93994140625,1253.4100341796875,782000000.0,2389.75,2405.2900390625,2338.89990234375,2339.3798828125,931090000.0,9544.23046875,9600.1298828125,9391.1396484375,9399.669921875,82630000.0,36.375,36.4375,35.03125,35.03125,2500500.0
39,1999-02-25,5.32,164.7,9411.682,4.4,108.1,1253.4100341796875,1253.4100341796875,1225.010009765625,1245.02001953125,740500000.0,2329.389892578125,2339.3798828125,2286.909912109375,2326.820068359375,858700000.0,9395.66015625,9396.1904296875,9233.3203125,9366.33984375,80780000.0,34.375,35.125,34.125,35.125,2566200.0
40,1999-02-26,5.29,164.7,9411.682,4.4,108.1,1245.02001953125,1246.72998046875,1226.239990234375,1238.3299560546875,784600000.0,2320.489990234375,2326.820068359375,2277.179931640625,2288.030029296875,901170000.0,9365.259765625,9398.400390625,9252.51953125,9306.580078125,81460000.0,35.0625,35.125,33.75,34.0625,2342600.0
41,1999-03-01,5.4,164.8,9411.682,4.2,105.7,1238.3299560546875,1238.699951171875,1221.8800048828125,1236.1600341796875,699500000.0,2286.830078125,2300.820068359375,2264.320068359375,2295.179931640625,770800000.0,9307.3896484375,9355.2099609375,9222.6298828125,9324.7802734375,104740000.0,33.625,34.1875,33.4375,33.90625,1092100.0
42,1999-03-02,5.35,164.8,9411.682,4.2,105.7,1236.1600341796875,1248.31005859375,1221.8699951171875,1225.5,753600000.0,2303.6201171875,2317.570068359375,2257.070068359375,2259.030029296875,894020000.0,9324.240234375,9421.2197265625,9268.0,9297.6103515625,79710000.0,34.1875,34.5,33.0,33.0,2480200.0
43,1999-03-03,5.39,164.8,9411.682,4.2,105.7,1225.5,1231.6300048828125,1216.030029296875,1227.699951171875,751700000.0,2274.0400390625,2280.969970703125,2235.18994140625,2265.199951171875,864380000.0,9296.4404296875,9337.0,9211.23046875,9275.8798828125,74640000.0,33.5,33.71875,32.875,33.5625,1607800.0
44,1999-03-04,5.41,164.8,9411.682,4.2,105.7,1227.699951171875,1247.739990234375,1227.699951171875,1246.6400146484375,770900000.0,2286.2900390625,2311.179931640625,2250.6298828125,2292.889892578125,889430000.0,9275.7197265625,9480.7099609375,9275.7197265625,9467.400390625,110950000.0,34.375,34.46875,33.125,33.90625,3199100.0
45,1999-03-05,5.34,164.8,9411.682,4.2,105.7,1246.6400146484375,1275.72998046875,1246.6400146484375,1275.469970703125,834900000.0,2329.580078125,2339.2099609375,2292.889892578125,2337.110107421875,859200000.0,9467.669921875,9738.7900390625,9467.669921875,9736.080078125,97210000.0,34.875,35.0,34.265625,34.6875,1876900.0
46,1999-03-08,5.29,164.8,9411.682,4.2,105.7,1275.469970703125,1282.739990234375,1271.5799560546875,1282.72998046875,714600000.0,2357.320068359375,2398.18994140625,2353.739990234375,2397.6201171875,970750000.0,9737.1904296875,9764.7998046875,9674.330078125,9727.6103515625,78540000.0,35.5,35.75,35.03125,35.6875,1659400.0
47,1999-03-09,5.18,164.8,9411.682,4.2,105.7,1282.72998046875,1293.739990234375,1275.1099853515625,1279.8399658203125,803700000.0,2396.52001953125,2433.3701171875,2385.52001953125,2392.93994140625,1032900000.0,9725.3896484375,9798.9296875,9669.8896484375,9693.759765625,96620000.0,35.5,36.1875,35.1875,35.3125,936000.0
48,1999-03-10,5.2,164.8,9411.682,4.2,105.7,1279.8399658203125,1287.02001953125,1275.1600341796875,1286.8399658203125,841900000.0,2407.10009765625,2408.949951171875,2378.81005859375,2406.0,936670000.0,9695.98046875,9776.169921875,9675.7197265625,9772.83984375,90040000.0,35.3125,35.53125,34.890625,35.3125,442000.0
49,1999-03-11,5.21,164.8,9411.682,4.2,105.7,1286.8399658203125,1306.4300537109375,1286.8399658203125,1297.6800537109375,904800000.0,2419.1201171875,2437.389892578125,2391.550048828125,2412.25,1033580000.0,9769.9599609375,9935.4599609375,9769.9599609375,9897.4404296875,97870000.0,35.5,35.96875,34.90625,35.25,1216200.0
50,1999-03-12,5.16,164.8,9411.682,4.2,105.7,1297.6800537109375,1304.4200439453125,1289.1700439453125,1294.5899658203125,825800000.0,2411.47998046875,2412.25,2362.8701171875,2381.530029296875,918410000.0,9897.7197265625,9958.76953125,9861.919921875,9876.349609375,97760000.0,35.5625,35.5625,34.5625,34.9375,836000.0
51,1999-03-15,5.15,164.8,9411.682,4.2,105.7,1294.5899658203125,1307.469970703125,1291.030029296875,1307.260009765625,727200000.0,2392.5400390625,2431.449951171875,2375.830078125,2431.43994140625,851480000.0,9876.080078125,9970.150390625,9862.48046875,9958.76953125,78860000.0,35.1875,35.5,34.640625,35.5,432100.0
52,1999-03-16,5.11,164.8,9411.682,4.2,105.7,1307.260009765625,1311.1099853515625,1302.2900390625,1306.3800048828125,751900000.0,2437.97998046875,2450.010009765625,2423.81005859375,2439.27001953125,977210000.0,9957.66015625,10001.7802734375,9926.580078125,9930.4697265625,74480000.0,35.53125,36.25,35.40625,36.109375,758800.0
53,1999-03-17,5.14,164.8,9411.682,4.2,105.7,1306.3800048828125,1306.550048828125,1292.6300048828125,1297.8199462890625,752300000.0,2440.219970703125,2441.719970703125,2419.85009765625,2428.969970703125,854320000.0,9931.1298828125,9960.7099609375,9859.150390625,9879.41015625,84570000.0,36.09375,36.125,35.5625,35.875,425400.0
54,1999-03-18,5.11,164.8,9411.682,4.2,105.7,1297.8199462890625,1317.6199951171875,1294.75,1316.550048828125,831000000.0,2425.360107421875,2463.010009765625,2423.5400390625,2462.9599609375,937430000.0,9873.900390625,10001.509765625,9845.830078125,9997.6201171875,86480000.0,35.75,36.40625,35.625,36.375,321400.0
55,1999-03-19,5.17,164.8,9411.682,4.2,105.7,1316.550048828125,1323.8199462890625,1298.9200439453125,1299.2900390625,914700000.0,2480.389892578125,2480.6298828125,2420.2099609375,2421.27001953125,1054880000.0,10001.23046875,10085.3095703125,9899.9404296875,9903.5498046875,117430000.0,36.6875,36.875,35.5,35.5,636500.0
56,1999-03-22,5.21,164.8,9411.682,4.2,105.7,1299.2900390625,1303.8399658203125,1294.260009765625,1297.010009765625,658200000.0,2428.389892578125,2430.85009765625,2395.2900390625,2395.93994140625,874200000.0,9902.2802734375,9934.6298828125,9874.9697265625,9890.509765625,61210000.0,35.5,35.84375,35.1875,35.5,773500.0
57,1999-03-23,5.2,164.8,9411.682,4.2,105.7,1297.010009765625,1297.010009765625,1257.4599609375,1262.1400146484375,811300000.0,2388.0400390625,2395.93994140625,2319.9599609375,2322.840087890625,976000000.0,9890.23046875,9891.0595703125,9632.7099609375,9671.830078125,87510000.0,35.25,35.25,34.21875,34.46875,1498600.0
58,1999-03-24,5.17,164.8,9411.682,4.2,105.7,1262.1400146484375,1269.02001953125,1256.4300537109375,1268.5899658203125,761900000.0,2326.6298828125,2365.35009765625,2305.639892578125,2365.280029296875,856520000.0,9671.5595703125,9703.1904296875,9625.2099609375,9666.83984375,72990000.0,34.6875,35.296875,34.09375,35.140625,616700.0
59,1999-03-25,5.21,164.8,9411.682,4.2,105.7,1268.5899658203125,1289.989990234375,1268.5899658203125,1289.989990234375,784200000.0,2399.719970703125,2434.889892578125,2399.719970703125,2434.800048828125,939490000.0,9664.900390625,9841.9404296875,9664.900390625,9836.3896484375,80470000.0,35.84375,36.09375,35.5625,35.96875,595100.0
60,1999-03-26,5.21,164.8,9411.682,4.2,105.7,1289.989990234375,1289.989990234375,1277.25,1282.800048828125,707200000.0,2425.050048828125,2445.719970703125,2410.4599609375,2419.169921875,831140000.0,9836.3896484375,9853.3203125,9747.3095703125,9822.240234375,66210000.0,35.8125,36.375,35.59375,35.78125,483500.0
61,1999-03-29,5.28,164.8,9411.682,4.2,105.7,1282.800048828125,1311.760009765625,1282.800048828125,1310.1700439453125,747900000.0,2442.590087890625,2492.840087890625,2419.169921875,2492.840087890625,876200000.0,9821.6103515625,10040.3603515625,9821.6103515625,10006.7802734375,69040000.0,36.25,37.1875,36.15625,37.125,949700.0
62,1999-03-30,5.21,164.8,9411.682,4.2,105.7,1310.1700439453125,1310.1700439453125,1295.469970703125,1300.75,729000000.0,2492.169921875,2506.7900390625,2477.6201171875,2480.2900390625,896110000.0,10003.83984375,10003.83984375,9874.41015625,9913.259765625,73970000.0,36.9375,37.5,36.75,37.0625,842500.0
63,1999-03-31,5.25,164.8,9411.682,4.2,105.7,1300.75,1313.5999755859375,1285.8699951171875,1286.3699951171875,924300000.0,2508.340087890625,2520.6298828125,2458.77001953125,2461.39990234375,1101200000.0,9914.3701171875,10002.33984375,9781.4501953125,9786.16015625,111740000.0,37.5,37.8125,36.53125,36.59375,774700.0
64,1999-04-01,5.27,165.9,9526.21,4.3,104.6,1286.3699951171875,1294.5400390625,1282.56005859375,1293.719970703125,703000000.0,2493.070068359375,2502.4599609375,2460.239990234375,2493.3701171875,848680000.0,9786.4404296875,9840.0,9765.6298828125,9832.509765625,68310000.0,37.5,37.53125,36.5,37.171875,318500.0
66,1999-04-05,5.2,165.9,9526.21,4.3,104.6,1293.719970703125,1321.1199951171875,1293.719970703125,1321.1199951171875,695800000.0,2523.97998046875,2560.10009765625,2515.699951171875,2560.06005859375,977920000.0,9836.1201171875,10023.150390625,9836.1201171875,10007.330078125,71120000.0,37.625,38.5,37.59375,38.453125,1003500.0
67,1999-04-06,5.13,165.9,9526.21,4.3,104.6,1321.1199951171875,1326.760009765625,1311.0699462890625,1317.8900146484375,787500000.0,2555.47998046875,2582.3701171875,2544.0400390625,2563.169921875,1113990000.0,10004.83984375,10030.3701171875,9915.759765625,9963.490234375,74900000.0,38.6875,39.125,38.3125,38.78125,540100.0
68,1999-04-07,5.14,165.9,9526.21,4.3,104.6,1317.8900146484375,1329.5799560546875,1312.5899658203125,1326.8900146484375,816400000.0,2594.780029296875,2596.25,2511.389892578125,2544.429931640625,1272750000.0,9963.490234375,10089.75,9955.16015625,10085.3095703125,95470000.0,39.5,39.5625,37.9375,38.6875,931700.0
69,1999-04-08,5.03,165.9,9526.21,4.3,104.6,1326.8900146484375,1344.0799560546875,1321.5999755859375,1343.97998046875,850500000.0,2553.449951171875,2573.969970703125,2514.27001953125,2573.389892578125,1145880000.0,10086.419921875,10209.080078125,10059.7802734375,10197.7001953125,91210000.0,38.6875,39.1875,37.875,39.0625,606900.0
70,1999-04-09,5.05,165.9,9526.21,4.3,104.6,1343.97998046875,1351.219970703125,1335.239990234375,1348.3499755859375,716100000.0,2574.97998046875,2599.199951171875,2561.510009765625,2593.050048828125,1091380000.0,10197.7001953125,10212.1298828125,10094.4697265625,10173.83984375,79950000.0,38.984375,39.359375,38.6875,39.0,278800.0
71,1999-04-12,5.06,165.9,9526.21,4.3,104.6,1348.3499755859375,1358.68994140625,1333.47998046875,1358.6300048828125,810800000.0,2530.989990234375,2606.239990234375,2526.840087890625,2598.81005859375,1143330000.0,10174.1103515625,10340.6201171875,10096.6904296875,10339.509765625,84540000.0,37.625,38.609375,37.4375,38.40625,1037500.0
72,1999-04-13,5.12,165.9,9526.21,4.3,104.6,1358.6400146484375,1362.3800048828125,1344.030029296875,1349.8199462890625,810900000.0,2626.85009765625,2632.510009765625,2575.050048828125,2583.5,1341700000.0,10340.6201171875,10418.8701171875,10316.4697265625,10395.009765625,88310000.0,38.5625,38.75,37.5,37.8125,800600.0
73,1999-04-14,5.13,165.9,9526.21,4.3,104.6,1349.8199462890625,1357.239990234375,1326.4100341796875,1328.43994140625,952000000.0,2621.52001953125,2628.18994140625,2507.280029296875,2507.280029296875,1416190000.0,10394.73046875,10526.5400390625,10367.8095703125,10411.66015625,107230000.0,38.375,38.484375,36.75,36.875,475700.0
74,1999-04-15,5.18,165.9,9526.21,4.3,104.6,1328.43994140625,1332.4100341796875,1308.3800048828125,1322.8499755859375,1089800000.0,2535.18994140625,2536.340087890625,2443.02001953125,2521.77001953125,1233960000.0,10411.66015625,10500.740234375,10378.6298828125,10462.7197265625,137100000.0,37.3125,37.375,36.09375,37.1875,1699200.0
75,1999-04-16,5.23,165.9,9526.21,4.3,104.6,1322.8599853515625,1325.030029296875,1311.4000244140625,1319.0,1002300000.0,2528.510009765625,2528.510009765625,2476.929931640625,2484.0400390625,1027070000.0,10463.5595703125,10520.009765625,10386.6103515625,10493.8896484375,113560000.0,37.1875,37.25,36.0,36.1875,272100.0
76,1999-04-19,5.18,165.9,9526.21,4.3,104.6,1319.0,1340.0999755859375,1284.47998046875,1289.47998046875,1214400000.0,2501.7099609375,2501.7099609375,2341.35009765625,2345.610107421875,1200990000.0,10493.8896484375,10765.740234375,10404.8701171875,10440.5302734375,145000000.0,36.5625,36.59375,34.125,34.4375,1208300.0
77,1999-04-20,5.16,165.9,9526.21,4.3,104.6,1289.47998046875,1306.300048828125,1284.2099609375,1306.1700439453125,985400000.0,2355.260009765625,2409.780029296875,2329.8701171875,2409.639892578125,1143740000.0,10440.5302734375,10496.3701171875,10333.150390625,10448.5498046875,113400000.0,34.8125,35.375,34.125,35.3125,1029400.0
78,1999-04-21,5.17,165.9,9526.21,4.3,104.6,1306.1700439453125,1336.1199951171875,1301.8399658203125,1336.1199951171875,920000000.0,2428.889892578125,2489.840087890625,2404.7099609375,2489.080078125,1125280000.0,10448.9599609375,10581.419921875,10420.76953125,10581.419921875,95180000.0,35.3125,36.375,35.0625,36.25,507800.0
79,1999-04-22,5.25,165.9,9526.21,4.3,104.6,1336.1199951171875,1358.8399658203125,1336.1199951171875,1358.8199462890625,927900000.0,2551.1298828125,2561.7900390625,2525.260009765625,2561.610107421875,1110460000.0,10580.6201171875,10753.8095703125,10580.0498046875,10727.1796875,107780000.0,37.8125,37.984375,37.1875,37.921875,1032300.0
80,1999-04-23,5.26,165.9,9526.21,4.3,104.6,1358.8299560546875,1363.6500244140625,1348.449951171875,1356.8499755859375,744900000.0,2563.8701171875,2603.10009765625,2538.0,2590.68994140625,1049670000.0,10726.0400390625,10754.669921875,10646.7099609375,10689.669921875,106990000.0,37.71875,38.34375,37.25,38.0,244500.0
81,1999-04-26,5.23,165.9,9526.21,4.3,104.6,1356.8499755859375,1363.56005859375,1353.719970703125,1360.0400390625,712000000.0,2617.090087890625,2661.510009765625,2615.72998046875,2652.050048828125,1050470000.0,10689.669921875,10729.1904296875,10649.8603515625,10718.58984375,86860000.0,38.4375,39.0,38.21875,38.96875,265100.0
82,1999-04-27,5.22,165.9,9526.21,4.3,104.6,1360.0400390625,1371.56005859375,1356.550048828125,1362.800048828125,891700000.0,2671.570068359375,2677.760009765625,2602.1298828125,2602.409912109375,1132010000.0,10719.16015625,10847.740234375,10719.16015625,10831.7099609375,103340000.0,39.4375,39.46875,37.96875,38.0,413000.0
83,1999-04-28,5.27,165.9,9526.21,4.3,104.6,1362.800048828125,1368.6199951171875,1348.2900390625,1350.9100341796875,951700000.0,2601.1298828125,2610.909912109375,2544.89990234375,2550.3701171875,1000820000.0,10831.990234375,10935.3701171875,10811.08984375,10845.4501953125,99540000.0,38.0,38.40625,37.3125,37.5,894300.0
84,1999-04-29,5.22,165.9,9526.21,4.3,104.6,1350.9100341796875,1356.75,1336.81005859375,1342.8299560546875,1003600000.0,2544.929931640625,2553.10009765625,2500.75,2528.43994140625,1005650000.0,10844.7802734375,10928.2099609375,10834.8603515625,10878.3798828125,104670000.0,37.5,37.5625,36.59375,37.109375,484000.0
